	glyph   name
      1 	        DELETE
      1 ¥	¥      YEN SIGN
      1 ©	©      COPYRIGHT SIGN
      1 Ã	Ã      LATIN CAPITAL LETTER A WITH TILDE
      1 È	È      LATIN CAPITAL LETTER E WITH GRAVE
      1 Î	Î      LATIN CAPITAL LETTER I WITH CIRCUMFLEX
      1 Õ	Õ      LATIN CAPITAL LETTER O WITH TILDE
      1 ÿ	ÿ      LATIN SMALL LETTER Y WITH DIAERESIS
      1 Ă	Ă      LATIN CAPITAL LETTER A WITH BREVE
      1 Ą	Ą      LATIN CAPITAL LETTER A WITH OGONEK
      1 Ċ	Ċ      LATIN CAPITAL LETTER C WITH DOT ABOVE
      1 ċ	ċ      LATIN SMALL LETTER C WITH DOT ABOVE
      1 Ę	Ę      LATIN CAPITAL LETTER E WITH OGONEK
      1 Ĝ	Ĝ      LATIN CAPITAL LETTER G WITH CIRCUMFLEX
      1 ĝ	ĝ      LATIN SMALL LETTER G WITH CIRCUMFLEX
      1 Ġ	Ġ      LATIN CAPITAL LETTER G WITH DOT ABOVE
      1 Ĥ	Ĥ      LATIN CAPITAL LETTER H WITH CIRCUMFLEX
      1 ĥ	ĥ      LATIN SMALL LETTER H WITH CIRCUMFLEX
      1 Ħ	Ħ      LATIN CAPITAL LETTER H WITH STROKE
      1 Ī	Ī      LATIN CAPITAL LETTER I WITH MACRON
      1 Į	Į      LATIN CAPITAL LETTER I WITH OGONEK
      1 ĸ	ĸ      LATIN SMALL LETTER KRA
      1 ň	ň      LATIN SMALL LETTER N WITH CARON
      1 Ō	Ō      LATIN CAPITAL LETTER O WITH MACRON
      1 Ŏ	Ŏ      LATIN CAPITAL LETTER O WITH BREVE
      1 ŏ	ŏ      LATIN SMALL LETTER O WITH BREVE
      1 ť	ť      LATIN SMALL LETTER T WITH CARON
      1 ŵ	ŵ      LATIN SMALL LETTER W WITH CIRCUMFLEX
      1 Ÿ	Ÿ      LATIN CAPITAL LETTER Y WITH DIAERESIS
      1 Ɣ	Ɣ      LATIN CAPITAL LETTER GAMMA
      1 ƕ	ƕ      LATIN SMALL LETTER HV
      1 ǂ	ǂ      LATIN LETTER ALVEOLAR CLICK
      1 ǃ	ǃ      LATIN LETTER RETROFLEX CLICK
      1 ǎ	ǎ      LATIN SMALL LETTER A WITH CARON
      1 ǐ	ǐ      LATIN SMALL LETTER I WITH CARON
      1 ǒ	ǒ      LATIN SMALL LETTER O WITH CARON
      1 ǫ	ǫ      LATIN SMALL LETTER O WITH OGONEK
      1 Ƿ	Ƿ      LATIN CAPITAL LETTER WYNN
      1 Ȟ	Ȟ      LATIN CAPITAL LETTER H WITH CARON
      1 ɓ	ɓ      LATIN SMALL LETTER B WITH HOOK
      1 ɕ	ɕ      LATIN SMALL LETTER C WITH CURL
      1 ɖ	ɖ      LATIN SMALL LETTER D WITH TAIL
      1 ɗ	ɗ      LATIN SMALL LETTER D WITH HOOK
      1 ɚ	ɚ      LATIN SMALL LETTER SCHWA WITH HOOK
      1 ɨ	ɨ      LATIN SMALL LETTER I WITH STROKE
      1 ɮ	ɮ      LATIN SMALL LETTER LEZH
      1 ɯ	ɯ      LATIN SMALL LETTER TURNED M
      1 ɴ	ɴ      LATIN LETTER SMALL CAPITAL N
      1 ɻ	ɻ      LATIN SMALL LETTER TURNED R WITH HOOK
      1 ʂ	ʂ      LATIN SMALL LETTER S WITH HOOK
      1 ʄ	ʄ      LATIN SMALL LETTER DOTLESS J WITH STROKE AND HOOK
      1 ʉ	ʉ      LATIN SMALL LETTER U BAR
      1 ʍ	ʍ      LATIN SMALL LETTER TURNED W
      1 ʎ	ʎ      LATIN SMALL LETTER TURNED Y
      1 ʏ	ʏ      LATIN LETTER SMALL CAPITAL Y
      1 ʜ	ʜ      LATIN LETTER SMALL CAPITAL H
      1 ʝ	ʝ      LATIN SMALL LETTER J WITH CROSSED-TAIL
      1 ʱ	ʱ      MODIFIER LETTER SMALL H WITH HOOK
      1 ˉ	ˉ      MODIFIER LETTER MACRON
      1 ˊ	ˊ      MODIFIER LETTER ACUTE ACCENT
      1 ˋ	ˋ      MODIFIER LETTER GRAVE ACCENT
      1 ˘	˘      BREVE
      1 ˚	˚      RING ABOVE
      1 Ί	Ί      GREEK CAPITAL LETTER IOTA WITH TONOS
      1 Ό	Ό      GREEK CAPITAL LETTER OMICRON WITH TONOS
      1 ϋ	ϋ      GREEK SMALL LETTER UPSILON WITH DIALYTIKA
      1 ϑ	ϑ      GREEK THETA SYMBOL
      1 ϧ	ϧ      COPTIC SMALL LETTER KHEI
      1 Ϯ	Ϯ      COPTIC CAPITAL LETTER DEI
      1 Й	Й      CYRILLIC CAPITAL LETTER SHORT I
      1 Ъ	Ъ      CYRILLIC CAPITAL LETTER HARD SIGN
      1 љ	љ      CYRILLIC SMALL LETTER LJE
      1 њ	њ      CYRILLIC SMALL LETTER NJE
      1 ѝ	ѝ      CYRILLIC SMALL LETTER I WITH GRAVE
      1 ѭ	ѭ      CYRILLIC SMALL LETTER IOTIFIED BIG YUS
      1 ѹ	ѹ      CYRILLIC SMALL LETTER UK
      1 ң	ң      CYRILLIC SMALL LETTER EN WITH DESCENDER
      1 ҥ	ҥ      CYRILLIC SMALL LIGATURE EN GHE
      1 Ҧ	Ҧ      CYRILLIC CAPITAL LETTER PE WITH MIDDLE HOOK
      1 ү	ү      CYRILLIC SMALL LETTER STRAIGHT U
      1 ҷ	ҷ      CYRILLIC SMALL LETTER CHE WITH DESCENDER
