glyph   name
        DELETE
¥      YEN SIGN
©      COPYRIGHT SIGN
Ã      LATIN CAPITAL LETTER A WITH TILDE
È      LATIN CAPITAL LETTER E WITH GRAVE
Î      LATIN CAPITAL LETTER I WITH CIRCUMFLEX
Õ      LATIN CAPITAL LETTER O WITH TILDE
ÿ      LATIN SMALL LETTER Y WITH DIAERESIS
Ă      LATIN CAPITAL LETTER A WITH BREVE
Ą      LATIN CAPITAL LETTER A WITH OGONEK
Ċ      LATIN CAPITAL LETTER C WITH DOT ABOVE
ċ      LATIN SMALL LETTER C WITH DOT ABOVE
Ę      LATIN CAPITAL LETTER E WITH OGONEK
Ĝ      LATIN CAPITAL LETTER G WITH CIRCUMFLEX
ĝ      LATIN SMALL LETTER G WITH CIRCUMFLEX
Ġ      LATIN CAPITAL LETTER G WITH DOT ABOVE
Ĥ      LATIN CAPITAL LETTER H WITH CIRCUMFLEX
ĥ      LATIN SMALL LETTER H WITH CIRCUMFLEX
Ħ      LATIN CAPITAL LETTER H WITH STROKE
Ī      LATIN CAPITAL LETTER I WITH MACRON
Į      LATIN CAPITAL LETTER I WITH OGONEK
ĸ      LATIN SMALL LETTER KRA
ň      LATIN SMALL LETTER N WITH CARON
Ō      LATIN CAPITAL LETTER O WITH MACRON
Ŏ      LATIN CAPITAL LETTER O WITH BREVE
ŏ      LATIN SMALL LETTER O WITH BREVE
ť      LATIN SMALL LETTER T WITH CARON
ŵ      LATIN SMALL LETTER W WITH CIRCUMFLEX
Ÿ      LATIN CAPITAL LETTER Y WITH DIAERESIS
Ɣ      LATIN CAPITAL LETTER GAMMA
ƕ      LATIN SMALL LETTER HV
ǂ      LATIN LETTER ALVEOLAR CLICK
ǃ      LATIN LETTER RETROFLEX CLICK
ǎ      LATIN SMALL LETTER A WITH CARON
ǐ      LATIN SMALL LETTER I WITH CARON
ǒ      LATIN SMALL LETTER O WITH CARON
ǫ      LATIN SMALL LETTER O WITH OGONEK
Ƿ      LATIN CAPITAL LETTER WYNN
Ȟ      LATIN CAPITAL LETTER H WITH CARON
ɓ      LATIN SMALL LETTER B WITH HOOK
ɕ      LATIN SMALL LETTER C WITH CURL
ɖ      LATIN SMALL LETTER D WITH TAIL
ɗ      LATIN SMALL LETTER D WITH HOOK
ɚ      LATIN SMALL LETTER SCHWA WITH HOOK
ɨ      LATIN SMALL LETTER I WITH STROKE
ɮ      LATIN SMALL LETTER LEZH
ɯ      LATIN SMALL LETTER TURNED M
ɴ      LATIN LETTER SMALL CAPITAL N
ɻ      LATIN SMALL LETTER TURNED R WITH HOOK
ʂ      LATIN SMALL LETTER S WITH HOOK
ʄ      LATIN SMALL LETTER DOTLESS J WITH STROKE AND HOOK
ʉ      LATIN SMALL LETTER U BAR
ʍ      LATIN SMALL LETTER TURNED W
ʎ      LATIN SMALL LETTER TURNED Y
ʏ      LATIN LETTER SMALL CAPITAL Y
ʜ      LATIN LETTER SMALL CAPITAL H
ʝ      LATIN SMALL LETTER J WITH CROSSED-TAIL
ʱ      MODIFIER LETTER SMALL H WITH HOOK
ˉ      MODIFIER LETTER MACRON
ˊ      MODIFIER LETTER ACUTE ACCENT
ˋ      MODIFIER LETTER GRAVE ACCENT
˘      BREVE
˚      RING ABOVE
Ί      GREEK CAPITAL LETTER IOTA WITH TONOS
Ό      GREEK CAPITAL LETTER OMICRON WITH TONOS
ϋ      GREEK SMALL LETTER UPSILON WITH DIALYTIKA
ϑ      GREEK THETA SYMBOL
ϧ      COPTIC SMALL LETTER KHEI
Ϯ      COPTIC CAPITAL LETTER DEI
Й      CYRILLIC CAPITAL LETTER SHORT I
Ъ      CYRILLIC CAPITAL LETTER HARD SIGN
љ      CYRILLIC SMALL LETTER LJE
њ      CYRILLIC SMALL LETTER NJE
ѝ      CYRILLIC SMALL LETTER I WITH GRAVE
ѭ      CYRILLIC SMALL LETTER IOTIFIED BIG YUS
ѹ      CYRILLIC SMALL LETTER UK
ң      CYRILLIC SMALL LETTER EN WITH DESCENDER
ҥ      CYRILLIC SMALL LIGATURE EN GHE
Ҧ      CYRILLIC CAPITAL LETTER PE WITH MIDDLE HOOK
ү      CYRILLIC SMALL LETTER STRAIGHT U
ҷ      CYRILLIC SMALL LETTER CHE WITH DESCENDER
Ө      CYRILLIC CAPITAL LETTER BARRED O
Ղ      ARMENIAN CAPITAL LETTER GHAD
Ո      ARMENIAN CAPITAL LETTER VO
Ց      ARMENIAN CAPITAL LETTER CO
Օ      ARMENIAN CAPITAL LETTER OH
ժ      ARMENIAN SMALL LETTER ZHE
խ      ARMENIAN SMALL LETTER XEH
װ      HEBREW LIGATURE YIDDISH DOUBLE VAV
ٱ      ARABIC LETTER ALEF WASLA
ژ      ARABIC LETTER JEH
ڭ      ARABIC LETTER NG
ۍ      ARABIC LETTER YEH WITH TAIL
ے      ARABIC LETTER YEH BARREE
ە      ARABIC LETTER AE
ܙ      SYRIAC LETTER ZAIN
ܩ      SYRIAC LETTER QAPH
މ      THAANA LETTER MEEMU
ލ      THAANA LETTER LAAMU
ߊ      NKO LETTER A
ߌ      NKO LETTER I
ߐ      NKO LETTER O
ߙ      NKO LETTER RA
ߣ      NKO LETTER NA
अ      DEVANAGARI LETTER A
आ      DEVANAGARI LETTER AA
ई      DEVANAGARI LETTER II
उ      DEVANAGARI LETTER U
ए      DEVANAGARI LETTER E
ङ      DEVANAGARI LETTER NGA
च      DEVANAGARI LETTER CA
ठ      DEVANAGARI LETTER TTHA
थ      DEVANAGARI LETTER THA
ब      DEVANAGARI LETTER BA
ौ      DEVANAGARI VOWEL SIGN AU
গ      BENGALI LETTER GA
চ      BENGALI LETTER CA
ঢ      BENGALI LETTER DDHA
ত      BENGALI LETTER TA
ম      BENGALI LETTER MA
র      BENGALI LETTER RA
ল      BENGALI LETTER LA
ਖ      GURMUKHI LETTER KHA
ਘ      GURMUKHI LETTER GHA
ਲ      GURMUKHI LETTER LA
ઈ      GUJARATI LETTER II
ટ      GUJARATI LETTER TTA
પ      GUJARATI LETTER PA
વ      GUJARATI LETTER VA
ા      GUJARATI VOWEL SIGN AA
அ      TAMIL LETTER A
ட      TAMIL LETTER TTA
ண      TAMIL LETTER NNA
ந      TAMIL LETTER NA
ள      TAMIL LETTER LLA
வ      TAMIL LETTER VA
ை      TAMIL VOWEL SIGN AI
ொ      TAMIL VOWEL SIGN O
ோ      TAMIL VOWEL SIGN OO
ం      TELUGU SIGN ANUSVARA
గ      TELUGU LETTER GA
మ      TELUGU LETTER MA
స      TELUGU LETTER SA
ు      TELUGU VOWEL SIGN U
ಂ      KANNADA SIGN ANUSVARA
